ID;lat;long
2266;544142.2673999965;6848718.567600001
2710;724324.7062999979;6249041.011599999
3094;912942.4447999969;6836018.230700001
3107;425024.3589999974;6761065.796999998
3121;714906.190700002;6763604.2577
3406;418035.3307999969;6520992.876699999
3663;25624.8008999974;6687352.3182
3759;654904.8677000031;6975802.459800001
5102;677971.7981999964;6858964.425000001
5349;316333.2220000029;6800177.024999999
8093;416537.8489999995;6921651.776000001
8576;651874.2700000033;6852369.541000001
8651;788808.5989999995;6454068.318999998
8738;721730.5681999996;7027494.7031
8802;345026.204400003;6290620.4377
9558;707452.6586000025;7010473.574999999
